Source,Target
307469,143200
307469,144328
307473,216928
307480,227374
307480,264501
307483,6211
307483,71854
307483,142817
307483,366800
307755,226147
307755,237575
307755,261279
308661,187314
308662,300752
308674,248899
308677,211504
308681,302366
309658,184208
309658,206913
309658,209731
309658,442808
309658,443061
309658,443137
309678,442844
311633,154255
311633,253226
311635,105783
311635,165869
311882,64730
311882,443002
311883,158207
311883,442961
311884,184208
311884,273030
311884,309658
311884,442941
311885,309678
311952,92680
311952,573096
311952,912031
311952,917645
311955,92680
311955,137381
311955,190272
311955,311952
311955,573096
311955,912031
311956,9565
311956,29705
311956,29710
311956,40215
311956,47130
311956,61957
311956,164964
311956,178500
311956,210631
311956,216930
311959,261414
311960,97456
311960,179125
311960,205252
311960,210629
311960,572942
311960,912004
311960,912163
311961,183734
311961,205255
311961,252273
313635,187316
313635,248894
314138,182252
314138,282650
314371,187316
314372,248895
314372,1809130
315852,182670
315852,212199
315852,256785
315852,442702
315853,100827
315853,183016
315854,452747
315854,452821
317051,276842
317052,142598
317052,276838
317052,276840
318412,375017
318415,375017
320088,197952
320088,261580
320090,245017
321260,237575
321260,264908
321260,264915
321265,97075
321292,443189
323510,230401
323510,442849
327187,253996
327187,265995
327191,299666
327205,192016
329246,442714
329246,442946
329261,442919
329267,375017
329445,443209
329445,443298
329449,442853
329449,443077
330788,443082
330788,443133
330793,10409
330793,27958
330793,48678
330793,50656
330793,50661
330793,68270
330793,102473
330793,119787
330793,157833
330793,163095
330793,163096
330793,163130
330793,164905
330793,173164
330793,173178
330793,195070
330793,205653
330793,208184
330793,208187
330793,224920
330793,224927
330793,244831
330793,244832
330793,244847
330793,244849
330793,246492
330793,252707
330793,263245
330793,263249
330793,263255
330793,275350
330793,275353
330793,275357
330793,275361
330793,282632
330793,299671
330793,572684
330793,572692
330793,573244
330793,573245
330793,573331
330793,573333
330793,573334
330793,573460
332960,307752
332961,105459
332962,186216
332962,332964
332964,332962
332965,74378
332965,131831
332965,229332
333744,265160
334859,269629
334874,27314
334876,232326
334876,232327
334876,303796
334877,232332
334877,248893
335453,178814
335453,442698
335453,442700
335454,184212
335454,237700
337566,1809754
337566,1809762
337572,307755
340719,232325
340723,232332
340724,245014
340724,303792
340728,248898
340728,248900
340730,248907
341088,248894
341089,300752
341089,308662
341470,237618
341470,248878
341470,248888
341471,187314
341471,248909
341471,300752
341471,303784
341471,340723
341472,237619
341474,211504
341474,248895
341474,286580
341476,187316
341536,1809164
341536,1809732
341536,1809843
341536,1818184
341538,212450
341556,198233
341556,198240
341557,55701
341557,279802
341558,28078
341558,42307
342320,197952
342321,2319
342321,70118
342321,93792
342321,121484
342323,262724
342324,918
342324,399620
342325,49285
342325,175597
342326,104422
344129,61001
344129,71303
344129,183626
344129,230243
344130,254090
344131,160321
344131,209605
344133,6787
344918,198191
344919,7346
344919,197951
344920,197952
344921,19625
344921,86445
345056,198229
345057,7277
345057,197953
345057,198234
345058,31215
345058,160327
345060,145224
345060,188339
345060,1809161
345061,3837
345066,158402
345067,70050
345497,232330
345498,164229
345498,187316
345498,248894
345500,158402
345503,248878
345505,237617
345505,248889
345505,248906
345505,284520
345508,248889
345510,187314
345560,1809130
345562,232331
345562,265187
345563,70050
345564,211506
345565,211503
345565,248878
345565,248889
345565,303789
345703,93765
345703,217592
345704,61017
345704,145222
345704,188364
345704,265244
345706,71322
345706,145221
345706,342326
346764,442774
346764,443147
346766,197952
346766,261580
346766,443263
346767,245017
346768,245014
346768,443262
347697,71304
347698,207700
347698,233697
347699,172928
347699,206864
347699,208049
347699,208358
347701,68548
347701,145222
347880,231786
347882,420073
347882,447910
347937,163094
347937,217411
347940,272153
347941,302550
347941,309695
347941,350432
347942,299666
349494,44638
349494,166821
349494,443052
350434,252707
350434,275350
350434,275353
350434,275357
350434,275361
350434,277853
350434,330793
350434,350435
350434,397901
350434,572684
350434,572692
350434,573244
350435,275350
350435,282632
350435,299671
350435,302553
350435,330793
350435,397901
350435,572684
350435,572692
350435,573245
350435,573333
350436,246484
350436,263254
350436,277872
378087,173166
378087,277868
378087,282629
379124,300744
379125,248902
379125,265152
379125,379122
379126,234907
379133,443318
379134,302405
379137,302351
379139,245014
379139,443127
396590,237619
396591,187324
396592,345564
397508,165853
