Source,Target
35165,12185
35165,12564
35165,25790
35165,31900
35165,59232
35165,60037
43775,79
43775,10902
43775,14696
43775,20793
43775,26250
43775,32388
43775,33712
43775,35255
43775,37344
43775,42876
43775,57736
23696,7437
23696,23930
65264,49602
65264,60209
50082,1177
28088,28085
11223,31729
11223,31731
11223,31730
11223,63092
27688,11798
27688,30406
35916,17923
35916,19654
35916,28660
35916,44969
55726,2460
38350,40429
13445,1234
13445,5374
13445,8826
13445,57601
13445,19146
13445,27298
13445,29520
13445,33705
13445,44989
13445,46545
13445,46880
13445,54955
13445,55361
53558,34755
1949,1948
1949,25713
1949,25769
1949,28021
1949,33024
1949,47524
1949,47522
1949,47521
1949,56459
1949,58881
64218,64215
51233,9560
51233,9568
51233,17205
37787,5600
37787,25180
60816,17830
2442,12462
2442,15781
33031,36224
33031,39917
35815,11482
35815,41736
35815,41738
35815,41737
35815,41794
21698,20460
21698,24522
34795,23958
34795,24221
34795,26801
34795,33255
34795,33252
34795,34970
34795,45001
34795,53081
34795,59147
34795,62241
34795,62415
63163,25268
63163,53319
46952,10044
46952,10045
46952,16524
46952,32113
46952,40838
46952,59149
46952,61231
46952,61235
41034,1174
41034,45224
41034,57297
16989,13993
16989,15889
16989,16988
16989,26533
16989,49614
16989,57310
16989,57309
38308,28651
38308,30508
38308,46776
38308,46775
48667,3632
48667,3826
48667,8867
48667,18546
48667,18553
48667,18550
48667,28460
48667,34552
48667,39160
48667,39162
48667,45644
48667,45646
35040,4720
35040,9683
35040,39398
35040,64267
57487,4197
57487,9553
57487,20840
57487,33520
57487,41225
57487,39683
35994,4888
35994,16130
35994,23398
35994,31511
35994,33434
35994,41521
35994,41520
35994,53844
35994,55258
35994,60363
35994,61035
38634,4782
38634,4780
38634,17302
38634,53515
38634,62571
11511,3267
11511,3269
11511,33255
11511,34970
11511,57776
11511,64101
11511,65330
25951,58339
17889,17251
17889,18691
17889,20549
17889,40393
56179,461
35507,1258
35507,1596
35507,49089
39051,30176
39051,59601
17028,16128
17028,17659
17028,25127
17028,38580
17028,38590
17028,56711
1419,25295
1419,38523
1419,38522
1419,42784
1419,49709
1419,53081
1419,53077
1419,54537
1419,57778
1419,59146
1419,59957
46488,11798
50299,2355
50299,2354
50299,34717
50299,36141
3833,3830
11598,53351
36340,62089
28004,10045
28004,16524
28004,47762
35626,1682
35626,24006
35626,32639
35626,33611
35626,49297
35626,53691
35626,62158
1143,27627
1143,35838
18883,54330
18883,57488
5760,6047
5760,6046
5760,6045
5760,22488
5760,40368
5760,54327
5760,61617
35607,35768
1728,18010
21626,41704
55802,47012
55802,54207
55802,54208
55802,54205
27291,28806
27291,35086
24317,328
24317,24315
25064,30588
6890,7318
6890,27989
6890,41581
6890,45878
6890,53881
6890,56448
36722,943
36722,8268
36722,36710
36722,36709
36722,36717
36722,36716
36722,61957
24896,8626
24896,23144
21302,5035
21302,34761
21302,37822
21302,37820
21302,43544
21302,60255
29303,9854
29303,22570
29303,25294
29303,36513
29303,36514
29303,38846
29303,49830
29303,57772
26860,31376
64495,20648
64495,56061
62320,4985
62320,16818
62320,23057
62320,36410
62320,39866
62320,46907
62320,47178
62320,66389
44383,3251
44383,6443
44383,15254
44383,35976
60645,11736
60645,60597
18216,2910
18216,26205
18216,29118
18216,63813
60081,24206
60081,45570
36438,497
36438,8718
36438,22221
36438,36433
36438,44820
36438,66308
36438,66380
49650,23958
49650,33600
49650,43733
49650,49649
63650,17936
63650,24593
63650,30460
63650,45216
9750,4100
63398,48421
11583,12367
13788,5978
13788,7348
13788,13310
13788,26582
13788,28063
13788,36223
38885,44946
38885,59733
14799,43922
14799,49358
14799,63782
43604,1234
43604,3291
43604,57601
43604,25891
43604,27336
43604,33705
43604,36823
43604,38391
43604,44730
43604,62313
48243,29397
24597,24594
24597,24595
24597,44673
33536,45826
57448,16239
57448,50328
57448,58747
57448,58533
59769,9610
59769,59846
14245,4196
14245,43246
7562,11798
35562,55011
61372,13955
61372,38937
61372,39917
61372,61371
17969,15612
17969,48226
17969,62228
28545,3011
28545,5275
28545,31731
28545,48551
28545,49868
28545,50989
28545,55868
28545,62424
28545,62425
23829,36886
11952,11950
11952,11949
11952,14140
11952,14139
11952,23081
11952,26109
11952,38099
11952,59625
50595,48678
63771,11091
63771,26045
63771,33031
63771,35377
63771,43743
63771,64802
63771,64978
13967,1057
13967,9890
13967,48974
13967,48976
55811,39917
55811,51169
13878,13877
5950,65287
8817,4225
8817,9556
8817,57345
8817,56159
8817,56158
33710,64879
52424,15290
52424,20959
52424,36787
52424,46525
52424,46527
35130,12873
35130,17454
35130,17277
35130,30033
35130,48537
19008,19007
20295,13029
20295,36343
20295,52574
53029,25047
53029,27281
53029,60515
53029,65574
37655,15957
37655,37754
37655,48241
37655,63224
37655,65125
52477,7798
52477,7797
52477,22172
52477,56711
52477,59510
35591,26365
30876,12115
30876,45917
30876,60302
19865,676
19865,6661
19865,9855
19865,12443
19865,22570
19865,31191
19865,35049
19865,37842
19865,40877
19865,53586
19865,54356
19865,65329
6095,6094
6095,18243
6095,21795
6095,23334
6095,52993
41912,29067
41912,58794
41912,60999
41912,65516
2795,1026
2795,53408
44921,22622
44921,49590
44921,51757
21456,21455
43993,8090
43993,56713
38019,44293
40803,13724
40803,24715
40803,40802
40803,40801
1203,3671
1203,21639
1203,24380
1203,29876
1203,46952
1203,55073
1203,61231
51977,39468
51977,59611
30920,57847
27137,11798
27137,47992
64323,21451
64323,33104
64323,38747
64323,38789
64323,40182
64323,46230
64323,53490
64323,60342
64323,65580
31623,17100
31623,23320
31623,31622
31623,31621
31623,48605
31623,56901
58423,58365
5166,1089
5166,26449
5166,65329
9446,45689
19011,27
19011,19009
32873,4268
32873,4269
32873,12759
32873,23251
32873,30033
32873,34449
32873,38738
32873,44632
32873,51329
32873,51498
32873,59818
32873,59955
32873,59956
32873,59958
32873,62242
32873,63085
32873,63089
32873,63087
32873,65114
32873,65113
59969,14521
59969,28495
59969,33088
59969,45725
59969,48690
59969,53902
37191,2863
37191,18286
37191,24862
37191,41485
37191,60917
13756,13754
13756,13755
13756,18211
13756,23174
13756,23825
13756,23824
13756,25295
13756,29007
13756,36511
13756,38858
13756,39995
13756,40481
13756,42924
13756,42921
13756,48745
13756,53081
13756,56498
13756,57773
13756,57778
13756,59146
13756,58487
13756,59394
13756,59393
33936,8482
33936,9329
33936,44857
18126,47626
37709,634
37709,23268
37709,25811
37709,34773
37709,37707
37709,44780
37709,55558
37709,66439
37709,60363
37709,60403
37709,65735
29126,61350
36868,881
36868,12582
36868,26949
18420,9026
9942,14325
9942,18467
52746,6127
52746,13968
52746,15258
52746,16836
52746,17784
52746,32388
52746,35975
52746,35976
52746,36141
52746,39005
52746,40163
52746,41488
52746,44945
52746,52138
52746,53913
52746,59440
52746,59624
52746,61001
21050,32623
21050,46686
21050,61552
33307,6044
33307,9440
33307,25666
33307,39263
33307,49868
33307,59145
3563,9560
33035,33032
38888,20404
40372,11956
45092,27433
28623,7042
28623,32358
28623,43234
4876,13350
6591,10474
25492,25490
25492,25489
44769,3267
44769,15348
44769,17771
44769,26448
44769,34969
44769,53687
44769,63213
4846,4845
30627,329
30627,9026
12886,11580
12886,13053
12886,50747
31031,8196
31031,8195
31031,31030
28075,13158
28075,19142
41440,16043
6543,6542
6543,60201
6543,61394
43746,42222
681,17651
681,23066
681,23958
681,37418
681,40877
681,43733
681,45372
681,53083
681,62415
681,63681
34475,34474
45873,9395
45873,23174
45873,30911
45873,48745
45873,66468
45873,59146
54193,17032
54193,29531
54193,65756
54193,65755
62416,23959
62416,59816
62416,62415
62416,64182
26629,59895
34830,11229
34830,26672
34830,31063
34830,55657
58579,3307
58579,3306
37431,50655
65705,25762
65705,25761
65705,61122
65705,62219
49001,3186
48788,9572
48788,50686
38399,34573
53525,15282
53525,21569
20306,38128
23325,8545
23325,13545
23325,41501
23325,53265
23325,63044
43529,28418
43529,41086
41257,47582
41257,50915
53092,19067
53092,21009
53092,39400
53092,45137
53092,45136
53092,48550
53092,53091
53092,59819
53092,62424
53092,62425
24188,20953
13021,55230
22252,882
22252,22239
22252,22218
22252,22251
59545,59544
61345,55170
61345,66443
33847,38563
25148,19309
25148,22438
25148,30973
25148,36232
25148,36238
25148,47149
25148,58892
25986,30419
25986,34058
25986,34514
31174,21531
31174,43520
31174,60472
13959,13958
52693,39973
43539,21435
43539,57773
36998,33664
36998,55300
50248,27126
45361,4225
45361,9556
45361,45360
45361,48971
8321,47582
8321,57773
8321,59146
33329,32388
33329,34904
44613,9572
50254,16779
50254,56668
16209,16203
16209,39769
16209,64043
63804,6748
63804,19711
63804,25723
63804,33338
63804,33337
63804,33779
63804,36956
63804,36953
63804,34562
63804,63803
57888,18353
57888,24152
57888,28299
57888,39347
57888,57887
27428,21097
27428,27418
27428,49814
27428,59160
58241,9440
58241,35040
58241,36152
58241,43996
58241,64173
58241,64171
58241,64172
26356,59775
35161,26580
35161,32137
35161,36620
35161,40535
35161,46228
35161,62607
40831,23140
40831,37211
40831,38700
40831,40830
27765,34392
21887,62732
146,144
15420,10476
15420,41472
15420,46004
8199,2399
8199,8198
8199,43641
57242,63493
61035,9548
37278,47467
37278,47465
37278,61960
25292,11209
25292,12443
25292,12995
25292,16953
25292,16990
25292,21354
25292,22570
25292,36127
25292,38524
25292,38523
25292,38525
25292,40686
25292,41253
25292,42279
25292,45995
25292,48894
25292,49710
25292,53967
25292,56705
25292,57924
25292,59013
25292,59147
29727,41897
29727,50168
54795,11798
36129,33643
36129,52718
34983,23045
34983,25904
34983,47912
34983,58956
34983,58955
18191,18178
18191,21073
18191,33088
18191,53902
18191,57299
18191,58445
18191,60389
30126,238
30126,51100
10976,41432
10976,55555
63766,10803
63766,65521
51935,44565
13704,4197
40012,30424
26517,4230
26517,14742
26517,14744
26517,14743
26517,17177
26517,18394
26517,19175
26517,18389
26517,18392
26517,18395
26517,18393
26517,18484
26517,24243
26517,28379
26517,28494
26517,28492
26517,32236
26517,34267
26517,44650
26517,45569
26517,45764
26517,51685
26517,50636
26517,51724
26517,50635
26517,53336
26517,53335
26517,53334
26517,51111
26517,51351
26517,56064
26517,58406
26517,58546
4934,9697
4934,62616
6033,2223
6033,7446
6033,8798
6033,13438
6033,19563
6033,28554
6033,31311
6033,52135
6033,52268
49752,5979
49752,32388
17018,18502
17018,43234
65012,37798
50912,3445
50912,8871
50912,8865
50912,18549
50912,24509
50912,29880
50912,44673
50912,44674
50912,50909
17539,37481
17539,50922
16593,17731
16593,23374
16593,44067
16593,60682
19077,20478
19077,39630
19077,57572
20486,20487
5722,1682
5722,1765
5722,14652
5722,18485
5722,24006
5722,50277
5722,57570
5722,62198
5722,64483
9220,9497
9220,24602
9220,58425
13354,9496
13354,28339
27135,10946
27135,27133
27135,38652
34120,18340
34120,18345
34120,18468
34120,18467
34120,34121
20860,20859
65907,36531
65907,56654
22229,1414
22229,22226
22229,22222
22229,22223
22229,36224
22229,47192
22229,54416
22229,57021
22229,58768
22229,60934
5187,5183
5187,3495
5187,45420
5187,45980
5187,45982
27656,14807
27656,23049
27656,23048
27656,31461
30693,1006
30693,6481
30693,6548
30693,12296
30693,21560
30693,21744
30693,27419
30693,47674
30693,52993
30693,54780
30693,66461
30693,59104
30693,65766
27479,17288
27479,17286
27479,28393
27479,34428
27479,39237
27479,39250
27479,45706
27479,58365
27479,58423
27479,59829
27479,64224
63447,36942
63447,49514
63447,51823
63447,52724
63004,10142
63004,25762
63004,25761
63004,25760
63004,29166
63004,31580
63004,33762
63004,35771
63004,61122
63004,62219
63004,65705
64118,12626
64118,15514
64118,23703
64118,38858
64118,46673
64118,49830
64118,48745
64118,53081
64118,59146
64118,59394
64118,59393
4516,12423
4516,25180
4516,56448
4516,62126
4516,64115
31936,48847
55166,16390
55166,33605
55166,38929
55166,61869
36454,8651
36454,31231
36454,65879
61623,34125
11445,15338
19871,2240
19871,17509
19871,53834
16822,6045
16822,55580
6143,121
6143,267
6143,24223
6143,24225
6143,50897
6143,50899
6143,64226
2090,288
2090,2085
27699,15781
27699,27588
27699,29538
27699,50672
27699,53226
27699,53227
27699,53228
27699,62016
30514,30513
30514,32281
34854,40982
34854,48982
34854,58919
31715,24717
31715,48898
37714,24374
37714,28377
37714,30535
37714,34712
37714,39984
37714,57218
40491,28946
40491,39952
40491,57091
23857,7684
23857,37795
23857,40352
23857,53515
36592,17302
42746,11415
42746,13347
42746,41604
42746,42745
5596,5595
2947,2633
2947,30514
35948,25672
62504,25182
62504,26153
62504,32083
62504,34417
62504,44806
62504,62503
62504,63480
45458,76
30270,30269
3565,3563
3565,9560
3565,51339
55628,50201
55628,48745
55628,58196
55628,59394
55628,59393
40249,22632
40249,40248
40249,40247
40249,40246
38685,21195
38685,27583
38685,53642
32988,56713
32988,56711
56566,47370
7741,4068
37722,47370
37722,65736
59729,18546
59729,59728
29904,45801
11387,53630
46303,34019
46303,60685
40869,23843
57168,10278
57168,38093
58988,18733
58988,18546
58988,18553
58988,18550
58988,18547
58988,18554
58988,20413
58988,24206
58988,27810
58988,33520
58988,33521
58988,34740
58988,38235
58988,39683
38102,6515
38102,28646
38102,31686
38102,36843
20529,24452
33367,30772
33367,51693
49996,5774
49996,49087
56018,18496
56018,59917
28074,61961
53615,14053
53615,16123
53615,16630
53615,17383
53615,17652
53615,17651
53615,19907
53615,23066
53615,23958
53615,23959
53615,29587
53615,41316
53615,43713
53615,43733
53615,44125
53615,45370
53615,53202
53615,59396
53615,61049
53615,62710
53865,65826
37555,25512
37555,25511
37555,35011
37555,37554
37555,59331
46589,21180
46589,46588
8874,8871
8874,30164
43852,1596
50020,16414
50020,25413
50020,26106
50020,52842
50020,59199
13802,22231
13802,60040
19633,43057
20538,29984
20538,29985
20538,39510
57328,7701
57328,23577
57328,26162
57328,39939
57328,48160
13240,33017
13240,45148
13240,48784
10105,10496
10105,11456
16486,16866
16486,19214
16486,25346
16486,53383
16486,63827
41340,41339
41340,41338
300,298
42592,45763
42592,57340
64038,46323
64038,65735
15784,49
15784,15783
15784,15781
15784,15779
15784,40163
15784,59104
56638,14240
56638,19828
56638,21013
56638,22785
56638,37636
56638,39799
56638,39877
56638,41838
56638,43938
56638,47178
56638,49203
56638,52734
56638,53408
56638,56461
56638,56636
56638,66389
56638,60479
56638,61347
56638,65571
61960,19034
7321,43517
4974,35153
4974,55028
37307,37302
37307,60781
65044,11610
65044,28072
65044,65042
4611,4609
4611,13386
4611,22735
4611,25309
4611,38909
4611,64092
4611,65862
42105,56090
30658,51309
36221,36215
36221,38387
23827,23825
23827,23824
23827,38525
23827,40004
23827,45996
23827,46656
23827,46911
23827,47863
23827,57926
23827,59148
23827,59151
23827,61234
8390,1275
8390,47927
8390,47990
8390,60997
12841,133
12841,6042
12841,6989
12841,25715
12841,39268
12841,58491
12841,65331
54809,30543
7132,15290
7132,19419
7132,36787
7132,46525
7132,52424
54865,51459
26866,8412
26866,11302
26866,24862
26866,43092
26866,51872
26866,59104
11518,1007
11518,3123
11518,6477
11518,7956
11518,13570
11518,16904
11518,19646
11518,21650
11518,23003
11518,41485
11518,44816
11518,47155
11518,47188
11518,49514
11518,49629
11518,55767
11518,56276
11518,59985
38597,8024
38597,26815
38597,33343
38597,63803
29557,6591
29557,45975
29557,49594
29557,53408
30505,16963
27262,13083
27262,27987
