paper_id,Recency,Spec_P,n_ref,n_cite,Cite_per_paper,Auth_collab,CiteScore,Percentile,Percent_Cited,SNIP,SJR
18970,0.0555555555555555,0,0,3,2.135416666666667,15.5,1.87,70.0,63.0,0.937,0.604
36331,0.0909090909090909,0,3,4,3.295238095238095,9.2,4.8,99.0,88.0,2.033,2.883
39620,0.0909090909090909,1,1,1,1.0,2.0,1.59,64.0,58.0,0.915,0.28
20480,0.05,0,10,13,12.0,4.0,3.23,88.0,81.0,1.85,2.047
5227,0.0285714285714285,1,0,5,4.25,2.0,3.23,88.0,81.0,1.85,2.047
2155,0.0333333333333333,1,1,1,4.180555555555555,9.857142857142858,4.8,99.0,88.0,2.033,2.883
29213,0.0476190476190476,0,4,0,1.4363636363636365,22.0,4.8,99.0,88.0,2.033,2.883
239,0.0416666666666666,0,5,0,7.0,8.0,4.8,99.0,88.0,2.033,2.883
16317,0.125,0,5,0,1.375,18.0,3.23,88.0,81.0,1.85,2.047
41667,0.0909090909090909,0,6,4,4.016483516483516,17.5,4.8,99.0,88.0,2.033,2.883
41273,0.1111111111111111,1,5,1,0.95,5.5,3.23,88.0,81.0,1.85,2.047
3047,0.0769230769230769,1,4,1,0.9380952380952382,8.666666666666666,4.8,99.0,88.0,2.033,2.883
30694,0.1666666666666666,1,8,2,2.388888888888889,6.333333333333333,4.8,99.0,88.0,2.033,2.883
22848,0.0526315789473684,0,1,1,1.1291260619690155,75.3,1.59,65.0,65.0,0.772,0.474
13496,0.1111111111111111,0,7,0,0.0,2.333333333333333,1.29,68.0,52.0,0.659,0.578
41978,0.0625,1,1,2,1.3333333333333333,7.0,4.8,99.0,88.0,2.033,2.883
15206,0.125,1,13,7,11.576923076923077,14.0,3.23,88.0,81.0,1.85,2.047
19698,0.0555555555555555,0,1,0,0.3333333333333333,2.0,4.8,99.0,88.0,2.033,2.883
28513,0.1,1,1,1,1.0,2.0,1.59,64.0,58.0,0.915,0.28
32424,0.1666666666666666,1,2,0,0.2476190476190476,15.2,1.87,70.0,63.0,0.937,0.604
3568,0.0769230769230769,0,10,5,5.131275720164608,268.3333333333333,1.59,65.0,65.0,0.772,0.474
14169,0.2,1,7,2,2.033333333333333,16.666666666666668,4.8,99.0,88.0,2.033,2.883
27851,0.0833333333333333,1,3,2,2.348148148148148,17.0,3.23,88.0,81.0,1.85,2.047
