Paper_Id,Recency,Spec_P,n_ref,n_cite,degree,Cite_per_paper,Auth_collab,P_index_auth,H_index_auth,CiteScore,Percentile,Percent_Cited,SNIP,SJR
2370,0.0294117647058823,0,0,1,1,9.09731729879741,226.0,380.41665,13.5,0.24,11.0,17.0,0.237,0.122
2374,0.0294117647058823,0,0,2,2,3.555555555555556,42.0,47.0,6.0,5.24,95.0,87.0,2.359,1.628
2375,0.0294117647058823,1,0,2,2,3.517857142857143,47.0,19.5,3.0,5.24,95.0,87.0,2.359,1.628
2430,0.0294117647058823,0,0,1,1,5.148148148148148,83.0,127.0667,9.0,3.76,88.0,76.0,2.251,0.805
2770,0.0294117647058823,0,0,3,3,8.882591093117409,371.0,393.65415,12.5,3.2,83.0,76.0,1.868,0.472
2771,0.0294117647058823,0,0,1,1,1.0673992673992674,125.0,33.9167,4.5,3.2,83.0,76.0,1.868,0.472
2965,0.0303030303030303,0,0,2,2,16.055277349768875,151.0,337.125,15.5,1.03,43.0,47.0,0.884,0.412
3077,0.0294117647058823,1,0,3,3,5.318181818181818,46.0,37.375,4.0,5.24,95.0,87.0,2.359,1.628
3085,0.0294117647058823,0,0,5,5,5.4,2.0,22.0,3.0,5.24,95.0,87.0,2.359,1.628
3109,0.0294117647058823,1,0,4,4,10.617391304347825,99.0,111.7667,4.666666666666667,5.24,95.0,87.0,2.359,1.628
3110,0.0294117647058823,1,0,2,2,7.392307692307693,108.0,98.1389,7.0,5.24,95.0,87.0,2.359,1.628
3111,0.0294117647058823,1,0,6,6,3.425641025641026,81.0,23.90835,5.0,5.24,95.0,87.0,2.359,1.628
3124,0.0294117647058823,1,0,11,11,21.57948369565217,84.0,237.70835,11.0,5.24,95.0,87.0,2.359,1.628
3125,0.0294117647058823,1,0,1,1,3.12,87.0,62.4167,8.0,5.24,95.0,87.0,2.359,1.628
3136,0.0294117647058823,0,0,1,1,0.7931034482758621,79.0,9.8,3.0,1.4,54.0,50.0,1.488,0.517
3139,0.0294117647058823,1,0,2,2,3.6504065040650406,71.0,18.63886666666667,3.0,1.4,54.0,50.0,1.488,0.517
3140,0.0294117647058823,1,0,1,1,4.692913385826771,248.0,310.9929,13.0,1.4,54.0,50.0,1.488,0.517
3655,0.0303030303030303,1,0,2,2,2.25,26.0,6.75,2.5,5.24,95.0,87.0,2.359,1.628
