Source,Target,Source_Score,Target_Score,weight
413530,298750,81.01133019044342,66.56005271250523,-14.451277477938191
413530,309879,81.01133019044342,88.359436598245,7.3481064078015805
413530,323214,81.01133019044342,45.405734398696204,-35.60559579174721
413530,328837,81.01133019044342,52.54701861672526,-28.464311573718156
413530,350479,81.01133019044342,66.99191933765094,-14.019410852792475
413531,27912,47.46244955784477,46.66013130215348,-0.80231825569129
413531,223933,47.46244955784477,47.71521172819215,0.25276217034738124
413531,258690,47.46244955784477,49.492486434955204,2.030036877110433
413531,276429,47.46244955784477,47.349349768904595,-0.11309978894017547
413531,312608,47.46244955784477,46.97996284632011,-0.4824867115246576
413532,176129,46.17557154710938,63.3651500613036,17.189578514194224
413532,304454,46.17557154710938,46.21842019251631,0.04284864540693434
413533,42791,46.44971534592032,47.643641804968574,1.1939264590482566
